"","week","deaths","age","year","weekno","reg"
"1",2016-01-01,7523,"Total",2016,1,"England & Wales"
"2",2013-02-01,11314,"Total",2013,5,"England & Wales"
"3",2019-02-01,11297,"Total",2019,5,"England & Wales"
"4",2013-03-01,10780,"Total",2013,9,"England & Wales"
"5",2019-03-01,11044,"Total",2019,9,"England & Wales"
"6",2011-04-01,9311,"Total",2011,13,"England & Wales"
"7",2016-04-01,10281,"Total",2016,14,"England & Wales"
"8",2015-05-01,10111,"Total",2015,18,"England & Wales"
"9",2020-05-01,17953,"Total",2020,18,"England & Wales"
"10",2012-06-01,9597,"Total",2012,22,"England & Wales"
"11",2018-06-01,8147,"Total",2018,22,"England & Wales"
"12",2011-07-01,8709,"Total",2011,26,"England & Wales"
"13",2016-07-01,9227,"Total",2016,27,"England & Wales"
"14",2014-08-01,8913,"Total",2014,31,"England & Wales"
"15",2017-09-01,8146,"Total",2017,35,"England & Wales"
"16",2010-10-01,8755,"Total",2010,40,"England & Wales"
"17",2013-11-01,9107,"Total",2013,44,"England & Wales"
"18",2019-11-01,10164,"Total",2019,44,"England & Wales"
"19",2017-12-01,10536,"Total",2017,48,"England & Wales"
"20",2015-01-02,12284,"Total",2015,1,"England & Wales"
"21",2018-02-02,13285,"Total",2018,5,"England & Wales"
"22",2012-03-02,10939,"Total",2012,9,"England & Wales"
"23",2018-03-02,10854,"Total",2018,9,"England & Wales"
"24",2010-04-02,7943,"Total",2010,14,"England & Wales"
"25",2014-05-02,10525,"Total",2014,18,"England & Wales"
"26",2017-06-02,8332,"Total",2017,22,"England & Wales"
"27",2010-07-02,8967,"Total",2010,27,"England & Wales"
"28",2013-08-02,8157,"Total",2013,31,"England & Wales"
"29",2019-08-02,9271,"Total",2019,31,"England & Wales"
"30",2011-09-02,7716,"Total",2011,35,"England & Wales"
"31",2016-09-02,7921,"Total",2016,36,"England & Wales"
"32",2015-10-02,9410,"Total",2015,40,"England & Wales"
"33",2012-11-02,9334,"Total",2012,44,"England & Wales"
"34",2018-11-02,9529,"Total",2018,44,"England & Wales"
"35",2011-12-02,9203,"Total",2011,48,"England & Wales"
"36",2016-12-02,10438,"Total",2016,49,"England & Wales"
"37",2014-01-03,11448,"Total",2014,1,"England & Wales"
"38",2020-01-03,12253,"Total",2020,1,"England & Wales"
"39",2012-02-03,10117,"Total",2012,5,"England & Wales"
"40",2017-02-03,12485,"Total",2017,5,"England & Wales"
"41",2017-03-03,11245,"Total",2017,9,"England & Wales"
"42",2015-04-03,9061,"Total",2015,14,"England & Wales"
"43",2020-04-03,16387,"Total",2020,14,"England & Wales"
"44",2013-05-03,10166,"Total",2013,18,"England & Wales"
"45",2019-05-03,11207,"Total",2019,18,"England & Wales"
"46",2011-06-03,7911,"Total",2011,22,"England & Wales"
"47",2016-06-03,7909,"Total",2016,23,"England & Wales"
"48",2015-07-03,9199,"Total",2015,27,"England & Wales"
