"","reg","deaths","date","year","weekno"
"1","North East",648,2010-01-08,2010,2
"2","North West",1686,2010-01-08,2010,2
"3","Yorkshire and The Humber",1317,2010-01-08,2010,2
"4","East Midlands",1091,2010-01-08,2010,2
"5","West Midlands",1370,2010-01-08,2010,2
"6","East",1412,2010-01-08,2010,2
"7","London",1226,2010-01-08,2010,2
"8","South East",1904,2010-01-08,2010,2
"9","South West",1395,2010-01-08,2010,2
"10","Wales",879,2010-01-08,2010,2
"11","North East",612,2010-01-15,2010,3
"12","North West",1772,2010-01-15,2010,3
"13","Yorkshire and The Humber",1163,2010-01-15,2010,3
"14","East Midlands",1098,2010-01-15,2010,3
"15","West Midlands",1258,2010-01-15,2010,3
"16","East",1263,2010-01-15,2010,3
"17","London",1262,2010-01-15,2010,3
"18","South East",1981,2010-01-15,2010,3
"19","South West",1354,2010-01-15,2010,3
"20","Wales",758,2010-01-15,2010,3
"21","North East",550,2010-01-22,2010,4
"22","North West",1576,2010-01-22,2010,4
"23","Yorkshire and The Humber",1133,2010-01-22,2010,4
"24","East Midlands",963,2010-01-22,2010,4
"25","West Midlands",1216,2010-01-22,2010,4
"26","East",1174,2010-01-22,2010,4
"27","London",1186,2010-01-22,2010,4
"28","South East",1877,2010-01-22,2010,4
"29","South West",1294,2010-01-22,2010,4
"30","Wales",774,2010-01-22,2010,4
"31","North East",555,2010-01-29,2010,5
"32","North West",1495,2010-01-29,2010,5
"33","Yorkshire and The Humber",1031,2010-01-29,2010,5
"34","East Midlands",938,2010-01-29,2010,5
"35","West Midlands",1106,2010-01-29,2010,5
"36","East",1143,2010-01-29,2010,5
"37","London",1093,2010-01-29,2010,5
"38","South East",1856,2010-01-29,2010,5
"39","South West",1150,2010-01-29,2010,5
"40","Wales",663,2010-01-29,2010,5
"41","North East",556,2010-02-05,2010,6
"42","North West",1385,2010-02-05,2010,6
"43","Yorkshire and The Humber",987,2010-02-05,2010,6
"44","East Midlands",874,2010-02-05,2010,6
"45","West Midlands",1097,2010-02-05,2010,6
"46","East",1156,2010-02-05,2010,6
"47","London",1035,2010-02-05,2010,6
"48","South East",1576,2010-02-05,2010,6
"49","South West",1147,2010-02-05,2010,6
"50","Wales",688,2010-02-05,2010,6
"51","North East",553,2010-02-12,2010,7
"52","North West",1402,2010-02-12,2010,7
"53","Yorkshire and The Humber",941,2010-02-12,2010,7
"54","East Midlands",858,2010-02-12,2010,7
"55","West Midlands",1024,2010-02-12,2010,7
"56","East",1032,2010-02-12,2010,7
"57","London",1049,2010-02-12,2010,7
"58","South East",1547,2010-02-12,2010,7
"59","South West",1070,2010-02-12,2010,7
"60","Wales",622,2010-02-12,2010,7
"61","North East",521,2010-02-19,2010,8
"62","North West",1371,2010-02-19,2010,8
"63","Yorkshire and The Humber",960,2010-02-19,2010,8
"64","East Midlands",802,2010-02-19,2010,8
"65","West Midlands",1029,2010-02-19,2010,8
