"","age...1","sex...2","week","deaths","year","weekno","reg","age"
"1","Total","Male",2010-01-08,6013,2010,2,"England & Wales","Total"
"2","Total","Female",2010-01-08,6954,2010,2,"England & Wales","Total"
"3","Under 1 year","Male",2010-01-08,25,2010,2,"England & Wales","Under 1 year"
"4","Under 1 year","Female",2010-01-08,36,2010,2,"England & Wales","Under 1 year"
"5","01-14","Male",2010-01-08,9,2010,2,"England & Wales","01-14"
"6","01-14","Female",2010-01-08,15,2010,2,"England & Wales","01-14"
"7","15-44","Male",2010-01-08,184,2010,2,"England & Wales","15-44"
"8","15-44","Female",2010-01-08,115,2010,2,"England & Wales","15-44"
"9","45-64","Male",2010-01-08,894,2010,2,"England & Wales","45-64"
"10","45-64","Female",2010-01-08,676,2010,2,"England & Wales","45-64"
"11","65-74","Male",2010-01-08,1214,2010,2,"England & Wales","65-74"
"12","65-74","Female",2010-01-08,835,2010,2,"England & Wales","65-74"
"13","75-84","Male",2010-01-08,2004,2010,2,"England & Wales","75-84"
"14","75-84","Female",2010-01-08,1948,2010,2,"England & Wales","75-84"
"15","85+","Male",2010-01-08,1683,2010,2,"England & Wales","85+"
"16","85+","Female",2010-01-08,3329,2010,2,"England & Wales","85+"
"17","Total","Male",2010-01-15,5892,2010,3,"England & Wales","Total"
"18","Total","Female",2010-01-15,6647,2010,3,"England & Wales","Total"
"19","Under 1 year","Male",2010-01-15,40,2010,3,"England & Wales","Under 1 year"
"20","Under 1 year","Female",2010-01-15,29,2010,3,"England & Wales","Under 1 year"
"21","01-14","Male",2010-01-15,17,2010,3,"England & Wales","01-14"
"22","01-14","Female",2010-01-15,12,2010,3,"England & Wales","01-14"
"23","15-44","Male",2010-01-15,214,2010,3,"England & Wales","15-44"
"24","15-44","Female",2010-01-15,117,2010,3,"England & Wales","15-44"
"25","45-64","Male",2010-01-15,895,2010,3,"England & Wales","45-64"
"26","45-64","Female",2010-01-15,570,2010,3,"England & Wales","45-64"
"27","65-74","Male",2010-01-15,1082,2010,3,"England & Wales","65-74"
"28","65-74","Female",2010-01-15,778,2010,3,"England & Wales","65-74"
"29","75-84","Male",2010-01-15,1925,2010,3,"England & Wales","75-84"
"30","75-84","Female",2010-01-15,1958,2010,3,"England & Wales","75-84"
"31","85+","Male",2010-01-15,1719,2010,3,"England & Wales","85+"
"32","85+","Female",2010-01-15,3183,2010,3,"England & Wales","85+"
"33","Total","Male",2010-01-22,5498,2010,4,"England & Wales","Total"
"34","Total","Female",2010-01-22,6261,2010,4,"England & Wales","Total"
"35","Under 1 year","Male",2010-01-22,35,2010,4,"England & Wales","Under 1 year"
"36","Under 1 year","Female",2010-01-22,31,2010,4,"England & Wales","Under 1 year"
"37","01-14","Male",2010-01-22,9,2010,4,"England & Wales","01-14"
"38","01-14","Female",2010-01-22,9,2010,4,"England & Wales","01-14"
"39","15-44","Male",2010-01-22,219,2010,4,"England & Wales","15-44"
"40","15-44","Female",2010-01-22,128,2010,4,"England & Wales","15-44"
"41","45-64","Male",2010-01-22,826,2010,4,"England & Wales","45-64"
"42","45-64","Female",2010-01-22,566,2010,4,"England & Wales","45-64"
"43","65-74","Male",2010-01-22,1045,2010,4,"England & Wales","65-74"
"44","65-74","Female",2010-01-22,736,2010,4,"England & Wales","65-74"
"45","75-84","Male",2010-01-22,1755,2010,4,"England & Wales","75-84"
"46","75-84","Female",2010-01-22,1746,2010,4,"England & Wales","75-84"
"47","85+","Male",2010-01-22,1609,2010,4,"England & Wales","85+"
"48","85+","Female",2010-01-22,3045,2010,4,"England & Wales","85+"
"49","Total","Male",2010-01-29,5161,2010,5,"England & Wales","Total"
"50","Total","Female",2010-01-29,5894,2010,5,"England & Wales","Total"
"51","Under 1 year","Male",2010-01-29,39,2010,5,"England & Wales","Under 1 year"
"52","Under 1 year","Female",2010-01-29,29,2010,5,"England & Wales","Under 1 year"
"53","01-14","Male",2010-01-29,9,2010,5,"England & Wales","01-14"
"54","01-14","Female",2010-01-29,12,2010,5,"England & Wales","01-14"
"55","15-44","Male",2010-01-29,222,2010,5,"England & Wales","15-44"
"56","15-44","Female",2010-01-29,114,2010,5,"England & Wales","15-44"
"57","45-64","Male",2010-01-29,770,2010,5,"England & Wales","45-64"
"58","45-64","Female",2010-01-29,530,2010,5,"England & Wales","45-64"
"59","65-74","Male",2010-01-29,976,2010,5,"England & Wales","65-74"
"60","65-74","Female",2010-01-29,690,2010,5,"England & Wales","65-74"
"61","75-84","Male",2010-01-29,1687,2010,5,"England & Wales","75-84"
"62","75-84","Female",2010-01-29,1672,2010,5,"England & Wales","75-84"
"63","85+","Male",2010-01-29,1458,2010,5,"England & Wales","85+"
"64","85+","Female",2010-01-29,2847,2010,5,"England & Wales","85+"
"65","Total","Male",2010-02-05,5000,2010,6,"England & Wales","Total"
"66","Total","Female",2010-02-05,5515,2010,6,"England & Wales","Total"
"67","Under 1 year","Male",2010-02-05,32,2010,6,"England & Wales","Under 1 year"
"68","Under 1 year","Female",2010-02-05,40,2010,6,"England & Wales","Under 1 year"
"69","01-14","Male",2010-02-05,11,2010,6,"England & Wales","01-14"
"70","01-14","Female",2010-02-05,7,2010,6,"England & Wales","01-14"
"71","15-44","Male",2010-02-05,203,2010,6,"England & Wales","15-44"
"72","15-44","Female",2010-02-05,114,2010,6,"England & Wales","15-44"
"73","45-64","Male",2010-02-05,764,2010,6,"England & Wales","45-64"
"74","45-64","Female",2010-02-05,544,2010,6,"England & Wales","45-64"
"75","65-74","Male",2010-02-05,914,2010,6,"England & Wales","65-74"
"76","65-74","Female",2010-02-05,674,2010,6,"England & Wales","65-74"
"77","75-84","Male",2010-02-05,1635,2010,6,"England & Wales","75-84"
"78","75-84","Female",2010-02-05,1488,2010,6,"England & Wales","75-84"
"79","85+","Male",2010-02-05,1441,2010,6,"England & Wales","85+"
"80","85+","Female",2010-02-05,2648,2010,6,"England & Wales","85+"
"81","Total","Male",2010-02-12,4932,2010,7,"England & Wales","Total"
"82","Total","Female",2010-02-12,5184,2010,7,"England & Wales","Total"
"83","Under 1 year","Male",2010-02-12,45,2010,7,"England & Wales","Under 1 year"
"84","Under 1 year","Female",2010-02-12,34,2010,7,"England & Wales","Under 1 year"
"85","01-14","Male",2010-02-12,14,2010,7,"England & Wales","01-14"
"86","01-14","Female",2010-02-12,14,2010,7,"England & Wales","01-14"
"87","15-44","Male",2010-02-12,200,2010,7,"England & Wales","15-44"
"88","15-44","Female",2010-02-12,108,2010,7,"England & Wales","15-44"
"89","45-64","Male",2010-02-12,753,2010,7,"England & Wales","45-64"
"90","45-64","Female",2010-02-12,486,2010,7,"England & Wales","45-64"
"91","65-74","Male",2010-02-12,963,2010,7,"England & Wales","65-74"
"92","65-74","Female",2010-02-12,633,2010,7,"England & Wales","65-74"
"93","75-84","Male",2010-02-12,1611,2010,7,"England & Wales","75-84"
"94","75-84","Female",2010-02-12,1391,2010,7,"England & Wales","75-84"
"95","85+","Male",2010-02-12,1346,2010,7,"England & Wales","85+"
"96","85+","Female",2010-02-12,2518,2010,7,"England & Wales","85+"
"97","Total","Male",2010-02-19,4840,2010,8,"England & Wales","Total"
"98","Total","Female",2010-02-19,5262,2010,8,"England & Wales","Total"
"99","Under 1 year","Male",2010-02-19,40,2010,8,"England & Wales","Under 1 year"
"100","Under 1 year","Female",2010-02-19,31,2010,8,"England & Wales","Under 1 year"
"101","01-14","Male",2010-02-19,3,2010,8,"England & Wales","01-14"
"102","01-14","Female",2010-02-19,14,2010,8,"England & Wales","01-14"
"103","15-44","Male",2010-02-19,216,2010,8,"England & Wales","15-44"
"104","15-44","Female",2010-02-19,113,2010,8,"England & Wales","15-44"
"105","45-64","Male",2010-02-19,760,2010,8,"England & Wales","45-64"
"106","45-64","Female",2010-02-19,516,2010,8,"England & Wales","45-64"
"107","65-74","Male",2010-02-19,927,2010,8,"England & Wales","65-74"
"108","65-74","Female",2010-02-19,633,2010,8,"England & Wales","65-74"
"109","75-84","Male",2010-02-19,1521,2010,8,"England & Wales","75-84"
"110","75-84","Female",2010-02-19,1494,2010,8,"England & Wales","75-84"
"111","85+","Male",2010-02-19,1373,2010,8,"England & Wales","85+"
"112","85+","Female",2010-02-19,2461,2010,8,"England & Wales","85+"
"113","Total","Male",2010-02-26,4885,2010,9,"England & Wales","Total"
"114","Total","Female",2010-02-26,5409,2010,9,"England & Wales","Total"
"115","Under 1 year","Male",2010-02-26,36,2010,9,"England & Wales","Under 1 year"
"116","Under 1 year","Female",2010-02-26,37,2010,9,"England & Wales","Under 1 year"
"117","01-14","Male",2010-02-26,14,2010,9,"England & Wales","01-14"
"118","01-14","Female",2010-02-26,13,2010,9,"England & Wales","01-14"
"119","15-44","Male",2010-02-26,222,2010,9,"England & Wales","15-44"
"120","15-44","Female",2010-02-26,118,2010,9,"England & Wales","15-44"
"121","45-64","Male",2010-02-26,780,2010,9,"England & Wales","45-64"
"122","45-64","Female",2010-02-26,535,2010,9,"England & Wales","45-64"
"123","65-74","Male",2010-02-26,948,2010,9,"England & Wales","65-74"
"124","65-74","Female",2010-02-26,652,2010,9,"England & Wales","65-74"
"125","75-84","Male",2010-02-26,1551,2010,9,"England & Wales","75-84"
"126","75-84","Female",2010-02-26,1555,2010,9,"England & Wales","75-84"
"127","85+","Male",2010-02-26,1334,2010,9,"England & Wales","85+"
"128","85+","Female",2010-02-26,2499,2010,9,"England & Wales","85+"
"129","Total","Male",2010-03-05,4784,2010,10,"England & Wales","Total"
"130","Total","Female",2010-03-05,5195,2010,10,"England & Wales","Total"
"131","Under 1 year","Male",2010-03-05,33,2010,10,"England & Wales","Under 1 year"
"132","Under 1 year","Female",2010-03-05,22,2010,10,"England & Wales","Under 1 year"
"133","01-14","Male",2010-03-05,16,2010,10,"England & Wales","01-14"
"134","01-14","Female",2010-03-05,15,2010,10,"England & Wales","01-14"
"135","15-44","Male",2010-03-05,235,2010,10,"England & Wales","15-44"
"136","15-44","Female",2010-03-05,113,2010,10,"England & Wales","15-44"
"137","45-64","Male",2010-03-05,743,2010,10,"England & Wales","45-64"
"138","45-64","Female",2010-03-05,487,2010,10,"England & Wales","45-64"
"139","65-74","Male",2010-03-05,940,2010,10,"England & Wales","65-74"
"140","65-74","Female",2010-03-05,607,2010,10,"England & Wales","65-74"
"141","75-84","Male",2010-03-05,1529,2010,10,"England & Wales","75-84"
"142","75-84","Female",2010-03-05,1474,2010,10,"England & Wales","75-84"
"143","85+","Male",2010-03-05,1288,2010,10,"England & Wales","85+"
"144","85+","Female",2010-03-05,2477,2010,10,"England & Wales","85+"
"145","Total","Male",2010-03-12,4642,2010,11,"England & Wales","Total"
"146","Total","Female",2010-03-12,5146,2010,11,"England & Wales","Total"
"147","Under 1 year","Male",2010-03-12,27,2010,11,"England & Wales","Under 1 year"
"148","Under 1 year","Female",2010-03-12,18,2010,11,"England & Wales","Under 1 year"
"149","01-14","Male",2010-03-12,20,2010,11,"England & Wales","01-14"
"150","01-14","Female",2010-03-12,8,2010,11,"England & Wales","01-14"
"151","15-44","Male",2010-03-12,214,2010,11,"England & Wales","15-44"
"152","15-44","Female",2010-03-12,120,2010,11,"England & Wales","15-44"
"153","45-64","Male",2010-03-12,726,2010,11,"England & Wales","45-64"
"154","45-64","Female",2010-03-12,533,2010,11,"England & Wales","45-64"
"155","65-74","Male",2010-03-12,912,2010,11,"England & Wales","65-74"
"156","65-74","Female",2010-03-12,640,2010,11,"England & Wales","65-74"
"157","75-84","Male",2010-03-12,1446,2010,11,"England & Wales","75-84"
"158","75-84","Female",2010-03-12,1471,2010,11,"England & Wales","75-84"
"159","85+","Male",2010-03-12,1297,2010,11,"England & Wales","85+"
"160","85+","Female",2010-03-12,2356,2010,11,"England & Wales","85+"
"161","Total","Male",2010-03-19,4649,2010,12,"England & Wales","Total"
"162","Total","Female",2010-03-19,5077,2010,12,"England & Wales","Total"
"163","Under 1 year","Male",2010-03-19,34,2010,12,"England & Wales","Under 1 year"
"164","Under 1 year","Female",2010-03-19,19,2010,12,"England & Wales","Under 1 year"
"165","01-14","Male",2010-03-19,14,2010,12,"England & Wales","01-14"
"166","01-14","Female",2010-03-19,10,2010,12,"England & Wales","01-14"
"167","15-44","Male",2010-03-19,189,2010,12,"England & Wales","15-44"
"168","15-44","Female",2010-03-19,105,2010,12,"England & Wales","15-44"
"169","45-64","Male",2010-03-19,775,2010,12,"England & Wales","45-64"
"170","45-64","Female",2010-03-19,532,2010,12,"England & Wales","45-64"
"171","65-74","Male",2010-03-19,922,2010,12,"England & Wales","65-74"
"172","65-74","Female",2010-03-19,650,2010,12,"England & Wales","65-74"
"173","75-84","Male",2010-03-19,1468,2010,12,"England & Wales","75-84"
